排名,词语,出现次数
196,弟子,65855
197,讚,65595
198,種種,65022
199,用,64661
200,虗,64236
201,智慧,63683
202,遂,63611
203,豈,63369
204,被,63309
205,聽,63235
206,上堂,63099
207,論,62999
208,第三,62915
209,出家,62521
210,供養,62431
211,迴,62297
212,耳,62110
213,吾,62067
214,毘,61877
215,使,61634
216,二合,61473
217,男子,61381
218,各,61052
219,諦,60346
220,相應,60181
221,徧,60165
222,日,59986
223,─,59289
224,故名,59081
225,無有,58848
226,義,58764
227,約,58246
228,修行,58184
229,要,58041
230,祇,58000
231,寺,57904
232,繫,57465
233,令,57119
234,歎,56342
235,癡,56283
236,一卷,56256
237,七,55903
238,所謂,55711
239,阿難,55672
240,同,55543
241,疏,55495
242,△,55385
243,差別,55336
244,難,54692
245,內,54400
246,死,54263
247,王,53983
248,禪師,53438
249,淨,53340
250,明,53328
251,著,53319
252,如此,53116
253,說法,53102
254,藏,52774
255,境界,52743
256,則,52526
257,歸,52426
258,聞,52272
259,法身,51662
260,念,51321
261,苦,51099
262,究竟,50898
263,鉢,50724
264,具足,50557
265,平等,50405
266,囉,50369
267,然,49800
268,釋,49768
269,你,49732
270,本,49302
271,+,49039
272,一一,48430
273,別,48296
274,佛言,48050
275,舍利,48023
276,不是,47830
277,不見,47741
278,出世,47482
279,瞋,47479
280,界,47458
281,次第,46927
282,雲,46739
283,識,46728
284,文殊,46593
285,何故,46513
286,尊者,46503
287,□,46193
288,十二,46171
289,墮,46168
290,當知,45993
291,却,45967
292,頌,45692
293,何,45655
294,思惟,45607
295,戒,45453
296,色,45445
297,子,45437
298,成,45184
299,破,45173
300,九,44978
301,十,44891
302,今日,44796
303,除,44741
304,乘,44693
305,好,44594
306,字,44422
307,金剛,44223
308,呪,44073
309,黃,43886
310,貪,43847
311,第四,43825
312,善根,43816
313,年,43746
314,不生,43556
315,分,43505
316,居士,43386
317,寶,43294
318,譬如,43151
319,無明,42957
320,三界,42739
321,天,42614
322,攝,42541
323,願,42465
324,以此,42434
325,師,42203
326,座,42060
327,根本,41839
328,修,41666
329,斷,41465
330,菩薩摩訶薩,41109
331,觀,41030
332,有人,40869
333,不善,40699
334,八,40441
335,甚麼,40374
336,劫,40360
337,山,40285
338,神通,40200
339,二者,40005
340,間,39969
341,會,39706
342,有所,39298
343,世,39285
344,自然,38939
345,成佛,38851
346,正法,38838
347,因果,38603
348,行者,38334
349,餘,38324
350,迦,38147
351,沒,37842
352,沙門,37699
353,一心,37347
354,邪,37009
355,這,36841
356,禪,36705
357,比丘尼,36659
358,達,36436
359,性,36427
360,精進,36374
361,三世,36301
362,羯,36274
363,可以,36094
364,闍,36051
365,無上,36050
366,巖,35989
367,一句,35970
368,殺,35847
369,教,35785
370,卷,35745
371,像,35591
372,故云,35550
373,先,35412
374,布施,35356
375,伽,35134
376,異,35131
377,食,35116
378,莊嚴,35091
379,由此,35069
380,喝,34984
381,一日,34962
382,妙,34898
383,凡,34532
384,所得,34476
385,文,34410
386,看,34322
387,稱,34184
388,凡夫,34132
389,未來,34120
390,佛性,33876
391,脫,33837
392,聲,33763
393,經云,33738
394,拄杖,33711
395,陀,33613
396,之中,33542
397,三藏,33413
398,喜,33395
399,共,33361
400,焉,33360
401,父母,33312
402,老,33308
403,地獄,33270
404,臺,33240
405,/,33100
406,不應,33007
407,打,32713
408,聲聞,32682
409,無邊,32623
410,故曰,32606
411,ā,32494
412,何等,32370
413,曇,32292
414,可知,32196
415,大悲,32055
416,水,31964
417,佛教,31918
418,只,31788
419,嚩,31697
420,無生,31665
421,大眾,31372
422,小,31264
423,峯,31135
424,磨,31114
425,聖,31103
426,門,31079
427,意,30997
428,定,30939
429,念佛,30932
430,隨,30917
431,倒,30893
432,摩,30888
433,無常,30866
434,惡,30851
435,哉,30755
436,總,30598
437,無為,30462
438,畢竟,30293
439,悟,30292
440,覺,30154
441,取,30116
442,曾,30027
443,五百,30018
444,什麼,30012
445,天下,29989
446,女人,29980
447,無漏,29969
448,利益,29894
449,句,29883
450,須,29855
451,菴,29840
452,修習,29658
453,外,29537
454,一時,29466
455,甚,29372
456,陳,29346
457,善現,29266
458,若有,29199
459,妄想,29185
460,最,29176
461,百千,29165
462,薩,29128
463,真言,29119
464,過去,29106
465,法者,29087
466,常,28995
467,恁麼,28767
468,麼,28735
469,輪,28706
470,髮,28638
471,并,28457
472,受持,28447
473,甚深,28407
474,增上,28365
475,云云,28362
476,法門,28303
477,竟,28293
478,智智,28136
479,│,28125
480,無礙,27956
481,十八,27880
482,歲,27806
483,香,27704
484,樂,27595
485,第八,27575
486,不成,27291
487,二十,27265
488,決定,27082
489,爾,26987
490,四大,26926
491,往,26922
492,小乘,26771
493,馬,26680
494,報,26642
495,果,26421
496,所生,26362
497,悉,26324
498,第六,26317
499,耨,26053
500,自己,26038
501,四句,25826
502,三千,25789
503,不定,25782
504,大德,25767
505,此法,25749
506,深,25652
507,遮,25582
508,不如,25534
509,歡喜,25432
510,相續,25421
511,根,25412
512,其中,25364
513,眾,25279
514,智者,24947
515,足,24925
516,頂,24813
517,滿,24738
518,妄,24645
519,女,24643
520,恚,24542
521,白,24500
522,佛告,24482
523,常住,24431
524,故知,24399
525,合,24395
526,亦非,24376
527,于,24351
528,愛,24272
529,鬼,24266
530,第五,24259
531,南,24219
532,瑜伽,24219
533,知識,24205
534,僧問,24174
535,不然,24153
536,進云,24091
537,第七,23925
538,之法,23881
539,三者,23826
540,建立,23791
541,魔,23781
542,退,23758
543,解,23691
544,三種,23675
545,真實,23661
546,不住,23652
547,芻,23647
548,舉,23558
549,發心,23513
550,〈,23495
551,〉,23495
552,所緣,23454
553,勸,23450
554,身心,23400
555,無間,23375
556,喫,23322
557,恭敬,23314
558,勿,23210
559,外道,23200
560,兩,23163
561,此中,23141
562,慈悲,23121
563,滅,23102
564,唯,22912
565,書,22850
566,三十,22778
567,婬,22633
568,圓滿,22617
569,信,22609
570,麤,22561
571,猶,22512
572,傳,22497
573,通,22496
574,忘,22485
575,〇,22452
576,隨眠,22385
577,壞,22375
578,二種,22373
579,所知,22371
580,遠,22366
581,天子,22338
582,略,22325
583,德,22323
584,之心,22322
585,受用,22255
586,法性,22220
587,藐三,22139
588,現前,22084
589,此經,22001
590,大小,21962
591,此等,21892
592,犯,21771
593,火,21682
594,名曰,21570
595,卻,21570
596,種子,21549
597,衣,21466
598,佛說,21409
599,不動,21401
600,無別,21363
601,十一,21343
602,大王,21333
603,辨,21285
604,蓋,21258
605,問曰,21249
606,嗣,21161
607,高,21155
608,答言,21117
609,現在,21051
610,漏,20984
611,僧伽,20948
612,弗,20929
613,生滅,20871
614,婆羅門,20768
615,眼,20746
616,覩,20706
617,娑,20703
618,正覺,20671
619,罪,20654
620,增長,20647
621,指,20645
622,諍,20633
623,天王,20613
624,中道,20561
625,多羅三,20524
626,相似,20515
627,一念,20500
628,依止,20496
629,大地,20470
630,憍,20462
631,童子,20447
632,空中,20433
633,諸人,20416
634,發,20392
635,開,20370
636,一人,20368
637,亂,20364
638,遠離,20344
639,提,20314
640,夢,20280
641,口,20259
642,何不,20254
643,具,20214
644,思議,20179
645,久,20103
646,十六,20096
647,結,20092
648,不二,20082
649,此是,20031
650,持戒,19972
651,大師,19892
652,語,19891
653,二分,19854
654,新,19736
655,而已,19736
656,七日,19706
657,萬,19651
658,諸天,19630
659,重,19580
660,求,19480
661,力,19430
662,法師,19404
663,把,19354
664,未曾,19350
665,風,19333
666,一者,19319
667,分明,19301
668,置,19262
669,佛子,19247
670,之一,19240
671,非法,19187
672,纔,19129
673,是非,19101
674,唯有,19057
675,不淨,19027
676,善哉,18958
677,住持,18865
678,太子,18845
679,大士,18771
680,乎,18751
681,忍,18720
682,作麼,18670
683,種,18662
684,道理,18641
685,某甲,18623
686,無相,18583
687,持,18529
688,何者,18457
689,不離,18438
690,元,18427
691,州,18400
692,說者,18394
693,怛,18392
694,現,18387
695,笑,18370
696,菩,18275
697,顯,18235
698,虛空,18234
699,神,18209
700,祕,18176
701,舌,18133
702,無二,18096
703,當,18082
704,麁,18037
705,再,17991
706,閑,17934
707,止,17880
708,山僧,17851
709,記,17840
710,註,17827
711,乞,17826
712,四種,17807
713,老僧,17785
714,佛如,17773
715,以為,17768
716,莫,17760
717,之義,17733
718,述,17731
719,如前,17725
720,金,17718
721,古人,17692
722,白佛言,17692
723,天地,17670
724,寂靜,17568
725,話,17554
726,不為,17538
727,西方,17531
728,主,17527
729,文字,17493
730,底,17464
731,神力,17435
732,日月,17354
733,隨順,17311
734,音,17301
735,龍,17259
736,師子,17217
737,至於,17165
738,洹,17131
739,趙,17101
740,眷屬,17085
741,尼,17082
742,手,17038
743,不斷,17015
744,荅,16938
745,近,16936
746,待,16934
747,無性,16903
748,不犯,16895
749,安,16888
750,就是,16875
751,家,16870
752,所作,16843
753,賊,16828
754,迦葉,16797
755,集,16782
756,是則,16728
757,應知,16719
758,拜,16691
759,寂滅,16675
760,此事,16672
761,法相,16641
762,靜慮,16597
763,訖,16588
764,誦,16529
765,兼,16514
766,頭,16492
767,樹,16470
768,*,16448
769,末,16444
770,廣說,16444
771,侍者,16379
772,猶如,16358
773,少,16351
774,業,16346
775,其心,16337
776,假,16330
777,勅,16284
778,而言,16280
779,不滅,16251
780,拈,16216
781,病,16215
782,懺悔,16128
783,光,16111
784,工,16106
785,合掌,16088
786,喻,16056
787,大慧,16055
788,過,16050
789,天台,16031
790,多少,16029
791,心中,16021
792,良久,15999
793,本性,15980
794,梵,15967
795,悉皆,15946
796,品,15910
797,本來,15908
798,何處,15886
799,奉,15838
800,飯,15823
801,大海,15790
802,不思議,15789
803,檀,15772
804,此即,15752
805,教化,15728
806,學,15720
807,飲食,15699
808,知見,15690
809,六根,15674
810,二句,15660
811,觀察,15637
812,葢,15607
813,苾,15590
814,僧云,15586
815,之時,15563
816,妙法,15512
817,境,15474
818,名字,15432
819,十五,15429
820,放逸,15416
821,雖然,15391
822,走,15380
823,世俗,15341
824,念念,15296
825,鼻,15274
826,淨土,15268
827,阿羅漢,15257
828,修道,15222
829,印,15216
830,頗,15208
831,一分,15153
832,實相,15134
833,中間,15129
834,立,15128
835,南無,15122
836,居,15079
837,不及,15070
838,必,15070
839,各有,15070
840,故有,15040
841,物,15037
842,辛,15018
843,有如,15012
844,愚,15012
845,才,14989
846,仍,14966
847,道場,14964
848,三十二,14908
849,甞,14879
850,鈔,14796
851,十三,14771
852,覆,14764
853,得名,14760
854,不了,14693
855,梵行,14686
856,反下,14683
857,大法,14677
858,畢,14676
859,下座,14676
860,論云,14674
861,其人,14663
862,海,14650
863,味,14575
864,自在,14561
865,宗,14525
866,此人,14487
867,卒,14476
868,故此,14462
869,十四,14438
870,華,14426
871,闇,14405
872,梨,14396
873,微妙,14392
874,他人,14368
875,嶽,14347
876,不失,14335
877,利,14318
878,出生,14229
879,不起,14203
880,無色,14189
881,竪,14181
882,唯識,14165
883,塵,14137
884,無斷,14121
885,可得,14112
886,華嚴,14110
887,祖,14106
888,三年,14100
889,理,14093
890,天竺,14083
891,產,14074
892,二人,14072
893,拏,14069
894,欲界,14050
895,互相,14046
896,愍,14037
897,顛倒,14037
898,實,14020
899,信心,13983
900,同一,13962
901,據,13938
902,拂子,13912
903,路,13888
904,婆,13887
905,舍,13882
906,所斷,13843
907,四者,13842
908,唵,13840
909,陰,13839
910,如實,13836
911,自心,13832
912,一生,13828
913,舍利子,13818
914,臥,13815
915,楞,13795
916,受戒,13791
917,畜生,13760
918,▆,13739
919,鬘,13705
920,不覺,13705
921,諸受,13668
922,賜,13657
923,佛祖,13648
924,不敢,13627
925,諸眾生,13599
926,不行,13589
927,梵天,13548
928,泥,13544
929,量,13524
930,周,13524
931,一乘,13494
932,遍,13478
933,無數,13470
934,王子,13463
935,若能,13427
936,土,13379
937,茶,13368
938,舊,13362
939,攝受,13355
940,一向,13343
941,一法,13337
942,自有,13336
943,善法,13314
944,自身,13312
945,似,13285
946,譬,13282
947,望,13281
948,法華,13255
949,瞿,13247
950,諸菩薩,13231
951,施,13164
952,夜,13160
953,作者,13149
954,慢,13148
955,之處,13139
956,佛土,13108
957,幢,13107
958,羣,13106
959,當時,13106
960,度,13071
961,律,13058
962,脫門,13032
963,故言,13003
964,比,12998
965,棒,12985
966,二年,12974
967,由旬,12972
968,熏,12965
969,文中,12948
970,慧,12935
971,垢,12921
972,菩薩行,12910
973,宣說,12902
974,鬼神,12895
975,相見,12864
976,但是,12862
977,位,12847
978,亦可,12840
979,只是,12823
980,今此,12807
981,呵,12804
982,命,12791
983,諸行,12770
984,元年,12766
985,昇,12763
986,轉,12744
987,體,12739
988,第九,12736
989,異熟,12733
990,往生,12729
991,五根,12718
992,熟,12698
993,流通,12690
994,失,12678
995,內外,12674
996,梵語,12673
997,如今,12672
998,玅,12671
999,古今,12670
1000,便是,12624
